Window,Alpha_Power,Beta_Power
1,4.262688296774177e-09,2.346001512139322e-08
2,5.612174335979457e-09,1.7985532646615343e-08
3,2.814088242904729e-09,2.0179697525440334e-08
4,2.3073747999078284e-09,2.0239138418675605e-08
5,6.6545939757910005e-09,1.857077594748596e-08
6,6.095858664291956e-09,1.6454865748339696e-08
7,2.948694389820822e-09,1.1782478458479995e-08
8,3.5509088998079412e-09,8.460520764185022e-09
9,3.736860881039212e-09,1.1520858607178408e-08
10,6.216483922708364e-09,1.4793961233892841e-08
11,6.194662808587821e-09,1.8828440111608287e-08
12,7.225092100688886e-09,2.1802898306080624e-08
13,6.2648449742658325e-09,2.5209776445367594e-08
14,3.9041636616539795e-09,2.2644403294361687e-08
15,4.632302995391609e-09,1.7254970030260413e-08
16,3.0825735435460696e-09,1.632916849955938e-08
17,2.132214687945709e-09,1.5244747669357874e-08
18,4.003789755146657e-09,1.3943790698708091e-08
19,3.4695789662109694e-09,1.7120558799011668e-08
20,1.2469534459348124e-09,2.137837477235282e-08
21,1.4396449176774375e-09,1.8357056299516996e-08
22,2.5709168407164236e-09,2.040656177952155e-08
23,5.685292531072327e-09,2.4702680991629806e-08
24,7.638141931423418e-09,2.767536186962918e-08
25,5.897772970221517e-09,1.876271353809475e-08
26,3.567156653748905e-09,1.2089236739851435e-08
27,3.5092412183727854e-09,1.6467364231250127e-08
28,6.444704226311674e-09,1.3541879835538104e-08
29,7.511692208625728e-09,1.3526259130476725e-08
30,5.798938259490279e-09,1.8451532015636326e-08
31,4.688778723631487e-09,1.64478628160815e-08
32,2.631140118787894e-09,2.3536342575221884e-08
33,3.2489995795212995e-09,2.8001584603807252e-08
34,5.775711768909169e-09,1.9761671535747363e-08
35,4.300625001117261e-09,1.3834433458959206e-08
36,6.4311882664881765e-09,1.8897418016158783e-08
