Alpha,Beta,Label,AlphaBetaRatio
2.800158460380725e-08,0.1160291328327021,Not Calm,2.4133236128017647e-07
1.8828440111608287e-08,0.3290056304116573,Calm,5.7228321861999226e-08
2.3536342575221884e-08,0.1117905260929475,Not Calm,2.1053968880737485e-07
1.64478628160815e-08,0.2850691774403144,Not Calm,5.769779449244466e-08
1.6454865748339696e-08,0.3704593375310298,Calm,4.441746794129985e-08
1.8897418016158786e-08,0.3403210036942086,Calm,5.5528215452546204e-08
2.5209776445367598e-08,0.2485085493654595,Not Calm,1.0144430245855975e-07
1.6467364231250127e-08,0.2131027873734216,Not Calm,7.727427892528803e-08
1.3541879835538104e-08,0.4759091281698399,Calm,2.8454759604243925e-08
1.7985532646615343e-08,0.3120382613208622,Calm,5.7638869574783355e-08
1.9761671535747366e-08,0.2922683821791768,Calm,6.761481138809042e-08
2.3460015121393223e-08,0.1817001512879259,Not Calm,1.29113899768955e-07
1.3526259130476725e-08,0.5553414389127544,Calm,2.4356653731726537e-08
1.845153201563633e-08,0.3142795001832966,Calm,5.871058088381482e-08
2.1802898306080624e-08,0.3313821859488229,Calm,6.579381520963158e-08
1.1782478458479996e-08,0.2502609616653795,Not Calm,4.708076873065879e-08
1.8570775947485962e-08,0.3583368834241885,Calm,5.1824907807501446e-08
1.479396123389284e-08,0.4202041511685492,Calm,3.520660420120123e-08
2.040656177952155e-08,0.1259848115764605,Not Calm,1.6197636464405677e-07
1.3834433458959206e-08,0.3108638321818786,Calm,4.450319408938197e-08
2.2644403294361687e-08,0.1724118587229936,Not Calm,1.3133901265308805e-07
2.0239138418675605e-08,0.1140055842386405,Not Calm,1.775276058084166e-07
2.1378374772352823e-08,0.0583277942880583,Not Calm,3.6652122771475534e-07
2.7675361869629183e-08,0.2759906796306602,Not Calm,1.0027643653280343e-07
1.8357056299517e-08,0.0784246065484539,Not Calm,2.3407266044969272e-07
1.5244747669357874e-08,0.1398655283899179,Not Calm,1.0899574644910704e-07
1.2089236739851437e-08,0.2950688062869999,Calm,4.097090740284079e-08
1.1520858607178408e-08,0.3243561099439977,Calm,3.551916629277482e-08
8.460520764185022e-09,0.4197033490940188,Calm,2.0158335125149927e-08
1.3943790698708093e-08,0.2871378265536941,Not Calm,4.85613158881407e-08
2.017969752544033e-08,0.1394514580487164,Not Calm,1.4470768400564658e-07
1.876271353809475e-08,0.3143347553778409,Calm,5.969022902205434e-08
